name,shortname
aaron,aar
abigail,nabby
abigail,abby
abigail,gail
abraham,abe
abraham,bram
adelaida,ida
adelaida,idly
alan,al
alastair,al
alastair,alex
alastair,ala
albert,al
albert,bert
albert,alberto
alexander,alex
alexander,lex
alexander,xander
alexander,sander
alexandra,alex
alexandra,ali
alexandra,lexie
alfred,al
alfred,alf
alfred,alfie
alfred,fred
alfred,fredo
alonzo,lonnie
aloysius,lou
aloysius,lewie
amanda,mandy
amanda,mand
andrew,andy
andrew,drew
angus,gus
anne,nan
anne,nancy
anthony,ant
anthony,tony
antoine,ant
antoinette,toni
antoinette,netta
antonia,toni
armando,arm
arnold,arnie
arthur,art
ashley,ash
augustine,gus
augustine,gussy
augustine,gussie
augustus,gus
augustus,auggy
agnes,aggie
agnes,nessie
agnes,nessy
agnes,nes
barbara,barb
barbara,barbie
barbara,babs
barbara,bobbie
barnaby,barney
barry,baz
bartholomew,bart
bartholomew,barty
bartholomew,barry
basil,baz
benjamin,benji
benjamin,ben
benjamin,benny
beverley,bev
bonnie,bunnie
bonnie,benny
bonnie,bon
bradley,brad
brian,bria
bridget,biddy
bridget,bridey
bruce,bru
berry,beri
bernadette,berrietta
bernadette,nadetta
byron,by
calvin,cal
cameron,cam
candace,candy
carlos,car
carolyn,carol
carolyn,lyn
carolyn,lynn
cassandra,cassie
cassandra,cass
cassandra,sandra
cassandra,sandy
catherine,cat
catherine,kat
catherine,cath
catherine,cate
catherine,kate
catherine,cathy
catherine,kathy
catherine,cassie
catherine,katie
cecilia,cecie
cecilia,cis
cecilia,cissie
cecilia,cecil
charles,charley
charles,chuck
charles,chas
charles,chaz
charles,chazza
charles,chic
charles,kori
charles,chip
charles,chucky
chester,chet
chester,chesty
christian,chris
christian,christie
christine,christy
christine,chris
christine,chrissy
christine,chrissie
christine,tina
christopher,chris
christopher,topher
christopher,kit
christopher,chrissy
clayton,clay
clement,clem
clement,clementine
clifford,cliff
clinton,clint
constance,connie
curtis,curt
cynthia,cindy
cyrus,cy
damien,dam
daniel,dan
daniel,danny
darren,daz
david,dave
david,davey
david,davie
david,div
david,dav
david,davo
deborah,deb
deborah,debbie
declan,dec
denise,den
diesel,die
dimitri,dim
dolores,dee
dominic,dom
dominic,nick
dominic,nicky
dominick,dom
dominick,nick
dominick,nicky
donald,don
donald,donny
dorothy,dot
dorothy,dottie
dorothy,doll
dorothy,dolly
douglas,doug
duncan,dun
dylan,dill
edmund,ed
edmund,eddy
edmund,eddie
edmund,ned
edmund,neddie
edmund,ted
edmund,teddy
edward,ed
edward,eddy
edward,eddie
edward,ned
edward,neddie
edward,ted
edward,teddy
edwin,ed
edwin,eddy
edwin,eddie
edwin,ned
edwin,neddie
edwin,ted
edwin,teddy
elaine,lainie
eleanor,ella
eleanor,elle
eleanor,ellie
eleanor,nell
eleanor,nellie
eleanor,nora
ellen,nell
ellen,nellie
ellen,ellie
elizabeth,bess
elizabeth,bessie
elizabeth,bette
elizabeth,bet
elizabeth,betty
elizabeth,beth
elizabeth,betsy
elizabeth,eliza
elizabeth,elise
elizabeth,elsa
elizabeth,elsie
elizabeth,elle
elizabeth,ella
elizabeth,lisa
elizabeth,lisbeth
elizabeth,lissie
elizabeth,lizbeth
elizabeth,lizzy
elizabeth,lizzie
elizabeth,liz
elizabeth,liza
elizabeth,lilibet
emily,em
emily,emmy
emily,emma
emily,milly
ethan,etha
ethel,eth
eugene,gene
eugene,gen
eugene,eugen
ezekiel,ezekias
ferdinand,ferd
frances,fran
frances,franny
frances,fanny
frances,frankie
francesca,fran
francesca,franny
francesca,fanny
francesco,fran
francesco,frank
francesco,frankie
francis,fran
francis,frank
francis,frankie
franklin,frank
franklin,franky
frederick,fred
frederick,freddy
fiona,sienna
fiona,siena
fiona,fi
florence,flora
florence,floss
florence,flossie
florence,flo
florence,renchy
florence,rench
gabriel,gabe
gabriela,gabby
garfield,gal
garfield,gary
garfield,garry
geoffrey,geoff
geoffrey,jeff
gerald,gerry
gerald,jerry
gertrude,gert
gertrude,gertie
gertrude,trudy
gilbert,gil
gilbert,gib
gilbert,bert
gregory,greg
gregory,gregg
gustav,gus
gustave,gus
geronimo,geno
geronimo,gero
geronimo,geron
geronimo,nemo
geronimo,gerie
geronimo,ron
geronimo,jer
gracia,gracie
gracia,grace
gracia,grass
gracia,graz
gracia,acia
gracia,grassie
gracia,ruby
gracia,rubanetta
gracia,reba
gracia,gracina
harold,harry
harold,hal
harriet,hatty
harry,haz
harry,hazza
helen,nell
helen,nellie
helen,eleni
henry,hank
henry,hal
henry,harry
henry,hen
herbert,herb
herbert,herbie
herbert,bert
hilary,hil
hilary,hilly
homer,home
howard,howie
ingrid,ing
irving,irv
isaac,ike
isabella,izzy
isabella,isa
isabella,bella
isabella,bell
isadore,izzy
iva,ivy
iva,vet
iva,ava
iva,livia
ivor,vor
ivor,ivy
jacob,jake
jacob,jacoby
jacob,jay
james,jim
james,jimmy
james,jamie
james,jimbo
james,jambo
james,jam
jane,jan
janet,jan
janice,jan
jasmin,jazz
jasmin,jaz
jasmin,jazzy
jasmin,jazza
jason,jay
jason,jase
jason,jake
jayden,jay
jeffrey,jeff
jeffrey,geoff
jeffrey,jeffy
jennifer,jen
jennifer,jenny
jennifer,jenni
jeremiah,jeremy
jeremiah,jerry
jeremiah,jer
jerome,jerry
jessica,jess
jessica,jessie
joel,joe
joel,joey
john,johnny
john,jack
johnathan,john
johnathan,johnny
jonathan,jon
jonathan,john
jonathan,jonny
jordan,judd
jordan,jordy
joseph,joe
joseph,joey
josephine,jo
josephine,joey
josephine,josie
joshua,josh
